timestamp	step	accuracy
1655033534897	0	0.5099270343780518
1655033542242	1	0.5312408804893494
1655033548679	2	0.5284671783447266
1655033555462	3	0.5176642537117004
1655033562552	4	0.5302189588546753
1655033568561	5	0.5359123945236206
1655033575534	6	0.5376642346382141
1655033582392	7	0.5564963221549988
1655033588696	8	0.5404379367828369
1655033595247	9	0.5427737236022949
1655033602484	10	0.5411678552627563
1655033608964	11	0.5433576703071594
1655033615465	12	0.541459858417511
1655033621877	13	0.5446715354919434
1655033628264	14	0.5509489178657532
1655033635493	15	0.5388321280479431
1655033641967	16	0.5308029055595398
1655033648458	17	0.5394160747528076
1655033655073	18	0.5218977928161621
1655033661784	19	0.5353284478187561
1655033668420	20	0.5421897768974304
1655033675120	21	0.5397080183029175
1655033681730	22	0.5529927015304565
1655033688002	23	0.5407299399375916
1655033693985	24	0.5429196953773499
1655033700822	25	0.5433576703071594
1655033707232	26	0.5388321280479431
1655033714360	27	0.5381022095680237
1655033720258	28	0.5351824760437012
1655033727209	29	0.5385401248931885
1655033733998	30	0.5382481813430786
1655033740013	31	0.5385401248931885
