timestamp	step	f1/score
1655033534897	0	0.4658711217183771
1655033542243	1	0.4762681454901321
1655033548679	2	0.46927374301675984
1655033555464	3	0.47388535031847134
1655033562553	4	0.4814695456010313
1655033568564	5	0.480640418232315
1655033575535	6	0.46889149756833803
1655033582394	7	0.47566448049706594
1655033588697	8	0.48862897985704995
1655033595248	9	0.48333883206862416
1655033602484	10	0.4984841231849369
1655033608964	11	0.49038774845226457
1655033615465	12	0.49558374819335155
1655033621880	13	0.48590736772704796
1655033628265	14	0.4709322325421397
1655033635493	15	0.4823857119449452
1655033641971	16	0.4710335747202106
1655033648458	17	0.468765785485772
1655033655074	18	0.47758813207848144
1655033661785	19	0.4642316108399259
1655033668422	20	0.4706279540850776
1655033675123	21	0.47088437657325055
1655033681731	22	0.466364586964099
1655033688003	23	0.46929824561403516
1655033693986	24	0.46959173301710994
1655033700824	25	0.4698305084745763
1655033707232	26	0.46862910008410436
1655033714361	27	0.4731934731934732
1655033720259	28	0.4659510231465951
1655033727210	29	0.46775551439636304
1655033733999	30	0.4692062426581641
1655033740015	31	0.463782866836302
