timestamp	step	f1/score
1654015227877	0	0.4037685060565276
1654015238357	1	0.39188191881918816
1654015247245	2	0.3854869509866327
1654015256217	3	0.36749962591650454
1654015265522	4	0.3821516561730085
1654015274851	5	0.3704678362573099
1654015284700	6	0.3824531516183986
1654015293852	7	0.37535431896165894
1654015303609	8	0.3824247355573637
1654015314870	9	0.37917146144994246
1654015324387	10	0.39215686274509803
1654015333450	11	0.3820954532617905
1654015342841	12	0.38834415136030936
1654015352222	13	0.3754946504470174
1654015361549	14	0.37478210342823937
1654015370798	15	0.3817671434300227
1654015380130	16	0.3798211291224147
1654015389866	17	0.36712409620776154
1654015399028	18	0.3655883194961352
1654015408678	19	0.36015554890816637
1654015419708	20	0.3766233766233766
1654015429700	21	0.3513087354146957
1654015439218	22	0.35788245588449763
1654015449217	23	0.3517337894573161
1654015458847	24	0.3679474360805599
1654015468027	25	0.36153244722439404
1654015477680	26	0.34868525896414343
1654015487352	27	0.3373615307150051
1654015496289	28	0.3449044585987261
1654015506140	29	0.3436940602115541
1654015515374	30	0.3392827356130108
1654015524593	31	0.3295880149812734
1654015534778	32	0.3394845688832326
1654015544367	33	0.33249370277078083
1654015554203	34	0.3281640820410205
1654015563457	35	0.31547826086956526
1654015572635	36	0.3131858561226267
1654015582373	37	0.3138825988503745
1654015591830	38	0.31896404838984493
1654015601717	39	0.3156266116554925
1654015611630	40	0.3199724754859796
1654015621088	41	0.3186452393295317
