timestamp	step	precision/score
1654617561564	0	0.4083036169128884
1654617570148	1	0.41413852318259875
1654617577017	2	0.4222961730449251
1654617583263	3	0.41220495106505467
1654617589585	4	0.4144009560800717
1654617595959	5	0.411801436153606
1654617602214	6	0.41843767949454336
1654617609204	7	0.42166820560172363
1654617616112	8	0.4247653648198607
1654617622153	9	0.41742400501410215
1654617628861	10	0.42290748898678415
1654617635101	11	0.41483771251931995
1654617641740	12	0.41711229946524064
1654617648309	13	0.42220172201722017
1654617654989	14	0.4101665205959685
1654617660886	15	0.4135433070866142
1654617667042	16	0.4212297338635668
1654617673770	17	0.41503363556595496
1654617680856	18	0.4145191703331238
1654617686941	19	0.4169570267131243
1654617693593	20	0.41859052247873635
1654617700873	21	0.41420118343195267
1654617707094	22	0.4161993769470405
1654617713011	23	0.41051935163744624
1654617720065	24	0.41433778857837184
1654617725962	25	0.4166138237159163
1654617731809	26	0.40928927680798005
1654617738165	27	0.41313226515865537
1654617744736	28	0.4169329073482428
1654617751597	29	0.4131396083385976
1654617758098	30	0.41614518147684604
1654617764586	31	0.4157372986369269
