timestamp	step	accuracy
1653688705501	0	0.5197873115539551
1653688712442	1	0.5235708951950073
1653688718067	2	0.5660088062286377
1653688723386	3	0.5720421075820923
1653688728765	4	0.532160758972168
1653688734268	5	0.5865630507469177
1653688739470	6	0.43961548805236816
1653688746289	7	0.5281726121902466
1653688751726	8	0.5239799618721008
1653688757229	9	0.5783822536468506
1653688763020	10	0.4853256940841675
1653688768780	11	0.5622251629829407
1653688774222	12	0.5928009152412415
1653688779726	13	0.4734635353088379
1653688785269	14	0.5608958005905151
1653688790983	15	0.5088455080986023
1653688796356	16	0.5099703669548035
1653688801980	17	0.5806319713592529
1653688807261	18	0.5726556777954102
1653688814167	19	0.5082319378852844
1653688819760	20	0.5861539840698242
1653688825115	21	0.5604867339134216
1653688830482	22	0.5741896033287048
1653688835721	23	0.5508742928504944
1653688841847	24	0.5529195070266724
1653688847945	25	0.5586460828781128
1653688853315	26	0.5706104636192322
1653688859143	27	0.5500562191009521
1653688864596	28	0.5680540204048157
1653688870283	29	0.5568053722381592
1653688876031	30	0.562736451625824
1653688881383	31	0.5653952360153198
1653688886937	32	0.5596686601638794
1653688896222	33	0.5613048076629639
1653688902794	34	0.5661110281944275
1653688907967	35	0.5718376040458679
1653688913135	36	0.5708150267601013
1653688918366	37	0.5699969530105591
1653688923961	38	0.5676449537277222
1653688929388	39	0.5676449537277222
1653688934504	40	0.5588505864143372
1653688939921	41	0.5552715063095093
