timestamp	step	train/loss
1654015227876	0	0.7055540680885315
1654015238352	1	0.6998767256736755
1654015247238	2	0.6968900561332703
1654015256216	3	0.6928350925445557
1654015265518	4	0.6886106729507446
1654015274849	5	0.6894826889038086
1654015284698	6	0.6875856518745422
1654015293851	7	0.6861311793327332
1654015303604	8	0.6847108006477356
1654015314869	9	0.6813811659812927
1654015324386	10	0.6769866943359375
1654015333449	11	0.670490562915802
1654015342838	12	0.6685085296630859
1654015352219	13	0.6650537252426147
1654015361548	14	0.6549400687217712
1654015370797	15	0.6473205089569092
1654015380129	16	0.6440799236297607
1654015389865	17	0.6368834972381592
1654015399025	18	0.6295735836029053
1654015408673	19	0.6218507885932922
1654015419706	20	0.6177824139595032
1654015429699	21	0.6058151721954346
1654015439217	22	0.5944397449493408
1654015449213	23	0.5859713554382324
1654015458841	24	0.5801919102668762
1654015468025	25	0.5753467679023743
1654015477679	26	0.5559186339378357
1654015487351	27	0.5520794987678528
1654015496286	28	0.5372628569602966
1654015506138	29	0.5292104482650757
1654015515372	30	0.5142952799797058
1654015524588	31	0.4935358166694641
1654015534771	32	0.48569732904434204
1654015544366	33	0.47948122024536133
1654015554202	34	0.46557676792144775
1654015563453	35	0.45657312870025635
1654015572633	36	0.44758710265159607
1654015582369	37	0.442941814661026
1654015591829	38	0.42964261770248413
1654015601716	39	0.42897647619247437
1654015611629	40	0.42285293340682983
1654015621080	41	0.4257473051548004
