timestamp	step	precision/score
1654286280205	0	0.36778197517539124
1654286285577	1	0.37360376249265137
1654286290608	2	0.36591928251121075
1654286295698	3	0.37755102040816324
1654286300765	4	0.37730227518959913
1654286305936	5	0.3736294630306438
1654286311157	6	0.37633786520104134
1654286316349	7	0.3732517482517482
1654286321153	8	0.37301373552383515
1654286326142	9	0.3715948161861941
1654286331310	10	0.37940164151442946
1654286336608	11	0.36088888888888887
1654286341679	12	0.36916014042668105
1654286346456	13	0.3775052348190248
1654286351534	14	0.3684210526315789
1654286356357	15	0.3692897141173003
1654286361511	16	0.3660851718830169
1654286366579	17	0.37029411764705883
1654286371579	18	0.3687697160883281
1654286376673	19	0.3666382009678338
1654286381485	20	0.37274074074074076
1654286386621	21	0.37075029308323565
1654286391652	22	0.3643475831237776
1654286396630	23	0.3627479160678356
1654286401818	24	0.36937962435970406
1654286406729	25	0.36655353286022835
1654286411929	26	0.36383240911891557
1654286416981	27	0.3700980392156863
1654286421925	28	0.35931232091690546
1654286427097	29	0.36266589728793996
1654286432257	30	0.356116256786969
1654286437312	31	0.3601765030336459
1654286442352	32	0.36524300441826213
1654286447431	33	0.3657365736573657
1654286452498	34	0.36122569239835
1654286457365	35	0.3655475368685284
1654286462620	36	0.3679160419790105
1654286467595	37	0.362042913266848
1654286472565	38	0.36184016514302564
1654286477590	39	0.3696130858760617
1654286483665	40	0.3751233958538993
1654286489270	41	0.3648774433757369
1654286494464	42	0.36366644606221044
1654286499832	43	0.35997596153846156
1654286505289	44	0.3675981370592149
1654286510780	45	0.3684710351377018
1654286516233	46	0.3584439641864773
1654286521529	47	0.36209601506118605
1654286526919	48	0.3638474295190713
1654286532580	49	0.3560732113144759
1654286538094	50	0.362255232950709
1654286543667	51	0.3602846054333765
1654286549012	52	0.3673941798941799
1654286554667	53	0.3581571473650994
1654286559481	54	0.36289267015706805
1654286564460	55	0.36264822134387353
1654286569183	56	0.3645367412140575
1654286573961	57	0.3603544469970463
1654286578605	58	0.3632122625791403
1654286583472	59	0.35865257595772787
1654286588556	60	0.3593350383631714
1654286593470	61	0.3621883656509695
1654286598409	62	0.36447368421052634
1654286603497	63	0.36104670420669094
