timestamp	step	recall/score
1654425323872	0	0.4796683774180813
1654425330599	1	0.5167785234899329
1654425335888	2	0.5080931701539676
1654425341171	3	0.5183576786419266
1654425346489	4	0.530990919857876
1654425351808	5	0.5061192262139755
1654425357262	6	0.538491906829846
1654425362553	7	0.5420450059218318
1654425367610	8	0.5238847216739044
1654425372909	9	0.5503355704697986
1654425378159	10	0.5519147256217923
1654425383288	11	0.5858665613896565
1654425388387	12	0.530990919857876
1654425393652	13	0.5199368337939203
1654425398800	14	0.5467824713778129
1654425403866	15	0.5732333201737071
1654425409200	16	0.49506514015001973
1654425414627	17	0.536517962889854
1654425420124	18	0.5144097907619424
1654425425667	19	0.548756415317805
1654425430907	20	0.526253454401895
1654425436122	21	0.513225424397947
1654425441325	22	0.5396762731938413
1654425446675	23	0.5179628898539281
1654425451985	24	0.5144097907619424
1654425457414	25	0.5357283853138571
1654425462650	26	0.5104619028819581
1654425468169	27	0.5369127516778524
1654425473509	28	0.5092775365179629
1654425478810	29	0.5167785234899329
1654425484049	30	0.48401105408606393
1654425489304	31	0.5294117647058824
1654425494446	32	0.4903276746940387
1654425499536	33	0.4958547177260166
1654425504574	34	0.5049348598499802
1654425509649	35	0.5242795104619029
1654425514870	36	0.5001973943939992
1654425520210	37	0.4824318989340703
1654425525291	38	0.491512041058034
1654425530671	39	0.5061192262139755
1654425535788	40	0.48756415317804974
1654425540755	41	0.4966442953020134
1654425545770	42	0.488748519542045
1654425550703	43	0.4883537307540466
1654425555741	44	0.5061192262139755
1654425560845	45	0.4804579549940782
1654425566205	46	0.4808527437820766
1654425571359	47	0.47651006711409394
1654425576586	48	0.49388077378602446
1654425581686	49	0.4776944334780892
1654425586733	50	0.4788787998420845
1654425591833	51	0.48637978681405447
1654425596755	52	0.5065140150019739
1654425601769	53	0.49230161863403077
1654425606640	54	0.49230161863403077
1654425611689	55	0.496249506514015
1654425616857	56	0.49072246348203713
1654425621900	57	0.4867745756020529
1654425627064	58	0.48006316620607975
1654425632324	59	0.4788787998420845
1654425637410	60	0.4579549940781682
1654425642552	61	0.47374654559810503
1654425647696	62	0.48637978681405447
1654425652837	63	0.5076983813659692
