timestamp	step	train/loss
1654617561563	0	0.7271444797515869
1654617570143	1	0.7135912179946899
1654617577015	2	0.7016034722328186
1654617583261	3	0.6945070028305054
1654617589584	4	0.6922393441200256
1654617595957	5	0.6861357688903809
1654617602207	6	0.684394896030426
1654617609194	7	0.6833862662315369
1654617616100	8	0.6810850501060486
1654617622149	9	0.6776262521743774
1654617628857	10	0.673952043056488
1654617635093	11	0.6710193753242493
1654617641738	12	0.6651895642280579
1654617648308	13	0.6590826511383057
1654617654986	14	0.6543295979499817
1654617660884	15	0.6484768986701965
1654617667040	16	0.6405162215232849
1654617673762	17	0.6280304789543152
1654617680854	18	0.6262899041175842
1654617686938	19	0.6131071448326111
1654617693591	20	0.6064330339431763
1654617700870	21	0.60286945104599
1654617707093	22	0.59583580493927
1654617713007	23	0.5894827246665955
1654617720061	24	0.5761765837669373
1654617725960	25	0.5708622932434082
1654617731807	26	0.5707007646560669
1654617738160	27	0.5598958134651184
1654617744734	28	0.5549927353858948
1654617751595	29	0.5519495606422424
1654617758097	30	0.5515576004981995
1654617764580	31	0.5531055331230164
